City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,qaqortoq,60.7167,-46.0333,0.94,86,84,1.03,GL,1682555165
111,uturoa,-16.7333,-151.4333,28.0,76,8,3.59,PF,1682555165
112,tromso,69.6496,18.957,2.01,69,100,1.54,NO,1682555165
113,letlhakane,-21.4167,25.5833,21.21,53,28,4.22,BW,1682555123
114,manoc-manoc,11.9416,121.9428,28.07,75,88,6.04,PH,1682555166
115,isafjordur,66.0755,-23.124,-1.84,68,46,2.94,IS,1682555166
116,susuman,62.7833,148.1667,-5.7,81,94,1.03,RU,1682555166
117,gogolin,50.4922,18.0199,3.84,87,28,2.45,PL,1682555166
118,bredasdorp,-34.5322,20.0403,14.1,84,60,1.58,ZA,1682555167
119,karratha,-20.7377,116.8463,27.26,44,100,0.74,AU,1682555167
120,kapit,2.0167,112.9333,23.81,99,100,0.18,MY,1682555167
121,rawlins,41.7911,-107.2387,12.94,35,0,8.23,US,1682555168
122,kununurra,-15.7667,128.7333,29.99,58,24,2.06,AU,1682555168
123,kamina,-8.7386,24.9906,17.65,92,100,1.33,CD,1682555168
124,aguas formosas,-17.0822,-40.9358,20.97,89,12,0.09,BR,1682555169
125,tazacorte,28.629,-17.9293,19.54,86,0,1.54,ES,1682555169
126,lompoc,34.6391,-120.4579,25.38,80,75,3.6,US,1682554799
127,wanning,18.8003,110.3967,25.11,83,93,2.36,CN,1682555169
128,alapa,8.6167,4.3833,24.12,81,100,3.49,NG,1682555170
129,novokayakent,42.3937,47.9861,12.02,86,4,1.4,RU,1682554872
130,dzhetygara,52.1908,61.2006,13.39,43,97,5.87,KZ,1682555170
131,kodiak,57.79,-152.4072,3.73,87,100,5.66,US,1682555171
132,yel'nya,54.5786,33.1837,10.36,80,96,2.39,RU,1682555171
133,olonkinbyen,70.9221,-8.7187,-2.9,88,100,8.51,SJ,1682555171
134,tralee,52.2704,-9.7026,9.19,93,100,3.18,IE,1682555171
135,awjilah,29.1081,21.2869,22.67,27,0,2.08,LY,1682555172
136,wailua homesteads,22.0669,-159.378,27.24,70,40,5.14,US,1682555172
137,saint-philippe,-21.3585,55.7679,22.77,76,56,2.4,RE,1682555173
138,la ronge,55.1001,-105.2842,7.14,61,75,7.2,CA,1682555173
139,novofedorivka,46.1713,32.3178,11.15,93,97,1.28,UA,1682555173
140,crane,31.3974,-102.3501,27.61,11,75,8.37,US,1682555173
141,el calafate,-50.3408,-72.2768,5.5,70,71,2.9,AR,1682555174
142,santyoku,37.4406,129.1708,14.79,43,0,3.08,KR,1682555174
143,hawaiian paradise park,19.5933,-154.9731,27.8,67,0,4.12,US,1682555174
144,guixi,28.2886,117.2133,17.68,76,7,2.36,CN,1682555175
145,kandahar,31.0,65.75,19.45,32,83,1.09,AF,1682555137
146,san mariano,7.5,126.0,26.16,77,96,1.5,PH,1682555175
147,stanley,54.868,-1.6985,3.72,93,0,0.0,GB,1682555175
148,illapel,-31.6308,-71.1653,18.72,66,14,0.99,CL,1682555176
149,al mutayrifi,25.4788,49.5576,22.19,30,69,3.65,SA,1682555176
150,bamako,12.65,-8.0,26.23,27,0,1.54,ML,1682555176
151,kalevala,65.2,31.1667,0.29,98,100,3.67,RU,1682555054
152,college,64.8569,-147.8028,5.05,48,75,3.09,US,1682555177
153,alofi,-19.0595,-169.9187,25.94,89,75,5.14,NU,1682555177
154,dudinka,69.4058,86.1778,-8.54,96,100,2.55,RU,1682555178
155,bandar-e genaveh,29.5791,50.517,24.07,57,63,1.63,IR,1682555178
156,plettenberg bay,-34.0527,23.3716,16.97,89,100,2.52,ZA,1682555178
157,zhigalovo,54.8097,105.1578,0.78,73,77,3.24,RU,1682555179
158,pangody,65.85,74.4859,-12.94,98,54,2.4,RU,1682555179
159,kirakira,-10.4544,161.9205,28.93,71,51,1.84,SB,1682555179
160,martapura,-3.4167,114.85,26.05,94,20,3.09,ID,1682555179
161,zheshart,62.0731,49.5733,4.18,96,100,4.13,RU,1682555180
162,kone,-21.0595,164.8658,26.16,73,35,2.43,NC,1682555180
163,fort mcmurray,56.7268,-111.381,10.77,43,75,2.06,CA,1682555074
164,broken hill,-31.95,141.4333,22.42,33,20,9.79,AU,1682555059
165,pochinki,54.6988,44.8668,9.03,89,54,4.22,RU,1682555181
166,teluk nibung,3.001,99.8164,24.65,93,93,2.17,ID,1682555182
167,mareeba,-17.0,145.4333,25.8,75,25,2.81,AU,1682555182
168,morant bay,17.8815,-76.4093,27.79,79,96,2.86,JM,1682555182
169,mount gambier,-37.8333,140.7667,15.99,85,79,4.32,AU,1682554670
170,ambon,-3.6954,128.1814,28.86,91,40,1.54,ID,1682555127
171,hirara,24.8,125.2833,23.15,83,75,5.66,JP,1682555183
172,portland,45.5234,-122.6762,25.46,43,75,3.09,US,1682555010
173,miasskoye,55.2784,61.8905,17.15,48,99,4.39,RU,1682555184
174,coahuayana de hidalgo,18.7,-103.6583,28.02,50,84,3.19,MX,1682555184
175,tolanaro,-25.0319,46.9987,19.04,88,20,2.06,MG,1682555184
176,kollam,8.8833,76.6,26.87,83,80,1.37,IN,1682555185
177,pudasjarvi,65.3833,26.9167,1.86,100,100,4.84,FI,1682555185
178,la plata,-34.9215,-57.9545,18.23,66,20,2.28,AR,1682554949
179,kapa'a,22.0752,-159.319,27.99,69,40,5.14,US,1682555185
180,gandajika,-6.75,23.95,20.31,94,98,1.07,CD,1682555186
181,sihanoukville,10.6093,103.5296,24.97,88,40,2.06,KH,1682555186
182,krasnogorskiy,54.6025,61.231,12.72,48,100,4.0,RU,1682555186
183,dwarka,22.2394,68.9678,26.31,70,3,5.91,IN,1682555187
184,nianzishan,47.5167,122.8833,9.32,29,37,5.46,CN,1682555187
185,aras-asan,8.8908,126.3033,28.58,71,100,2.41,PH,1682555187
186,san fernando de monte cristi,19.8667,-71.65,25.32,80,69,3.32,DO,1682555187
187,kuala terengganu,5.3302,103.1408,25.97,94,40,1.03,MY,1682555187
188,estevan,49.1334,-102.9842,12.19,35,20,9.26,CA,1682555188
189,ocos,14.5094,-92.1933,30.1,65,19,4.32,GT,1682555188
